CSFId,CSF
0,No Color Found
1,moonshine
2,montechristo
3,mango tango
4,mambo mauve
5,made in maui
6,lucsious lou
7,koral kiss
8,shagadelic
9,skinny dipping
10,sugar shack
11,sweet cheeks
12,tahitian tingle
13,time for tea
14,uptown girl
15,purple rain
16,autumn mist
17,yellow paint
18,yellow acrylart
19,yellow 3D gel
20,green paint
21,green arylart
22,green 3D gel
23,blue paint
24,blue acrylart
25,blue 3D gel
26,Pink
27,Baby Pink
28,Soft Pink
29,Baby Pink
30,Soft Pink
31,Timiron Symwhite 40
32,Ronastar Green Sparks
33,Timiron Splendid Gold
34,Timiron Splendid Red
35,Timiron Splendid Red
36,red
37,pink
40,24 Carat Mod
41,Apricot Splash
42,Auburn
43,Autumn Gold
44,Autumn Red
45,Beige
46,Berry Ice Tea
47,Bisque
48,Black Magic
49,Blush
50,Bordeaux
51,Breve
52,Brow Mod
53,Brown
54,Butternut
55,Burgundy Wine
56,Candy Apple Red
57,Cappuccino
58,Caramel
59,Caribbean Mod
60,Charcoal
61,Cherub Pink
62,Cocoa
63,Country Mauve
64,Creme Latte
65,Rose Red; Triple Max 31520
66,True Red; Triple Max 31609
67,Mauve; Triple Max 31515
68,Red Mauve; Triple Max 31516
69,Dark Mauve; Triple Max 31912
70,Medium Mauve; Triple Max 31919
71,Light Mauve; Triple Max 31920
72,Pink; Triple Max 31522
73,Coral Red; Triple Max 31931
74,Coral Pink; Triple Max 31932
75,Sienna; Triple Max 31527
76,Natural; Triple Max 31908
77,Burgundy; Triple Max 31537
78,Plum Wine; Triple Max 31538
79,Light Chocolate; Triple Max 31238
80,Milk Chocolate; Triple Max 31232
81,Brown Chocolate; Triple max 31220
82,Dark Chocolate; Triple Max 31208
83,Light Beige; Triple Max 31412
84,Medium Beige; Triple Max 31408
85,Dark Beige; Triple Max 31416
86,Tan; Triple Max 31252
87,Ivory; Triple Max 31414
88,Light Creme; Triple Max 31411
89,Dark Creme; Triple Max 31407
90,Natural; Triple Max 31908
91,Light Pink; Triple Max 31906
92,Medium Pink; Triple Max 31529
93,Dark Pink; Triple max 31904
94,Brow Corrector (Cool); Triple Max 31706
95,Brow Corrector (Warm); Triple Max 31528
96,Eyeliner Corrector; Triple max 31218
97,Lip Corrector; Triple Max 31610
98,White Lightening' Triple Max 31415
99,Yellow Warmer; Triple Max 31301
100,Light Brown; Triple Max 31235
101,Medium Brown; Triple Max 31212
102,Dark Brown; Triple Max 31203
103,Soft Brown; Triple Max 31204
104,Golden Brown; Triple Max 31234
105,Taupe; Triple Max 31236
106,Light Taupe; Triple Max  31707
107,Medium Taupe; Triple Max 31705
108,Dark Taupe; Triple Max 31224
109,Auburn; Triple Max 31223
110,Gray; Triple Max 31106
111,Black; Triple Max 31102
112,Brown Black; Triple Max 31103
113,Brown; Triple Max 31104
114,Midnight Blue; Triple Max 31801
115,Dark Blue; Triple Max 31803
116,Dark Green; Triple Max 31703
117,Eyeliner Enhancer; Triple Max 31420
118,Beige 1; BE-01
119,24 Carat Mod; VT-321
120,DC-Beige 407
121,TC-Beige 407
122,Apricot Splash; VT-582
123,Auburn; VT-223
124,Autumn Gold; VT-234
125,Autumn Red; VT-510
126,Beige; VT-416
127,Berry Ice Tea; VT-921
128,Bisque; VT-421
129,Black Magic; VT-103
130,Blush; VT-906
131,Bordeaux; VT-581
132,Breve; VT-261
133,Brow Mod; VT-707
134,Brown; VT-261
135,Butternut; VT-631
136,Burgundy; VT-535
137,Candy Apple Red; VT-505
138,Cappuccino; VT-212
139,Caramel; VT-252
140,Caribbean Mod; VT-528
141,Charcoal; VT-119
142,Cherub Pink; VT-556
143,Cocoa; VT-204
144,Country Mauve; VT-515
145,Creme Latte; VT-262
146,Dark Brown; VT-220
147,Darkenalf; VT-516
148,Desert Beige Mod; 414
149,Desert Beige Mod; VT-414
150,Ebony Brown; VT-104
151,Dark Brown
152,Darkenalf
153,Desert Beige Mod
154,Ebony Brown
155,Eskimo Gray
156,Espresso
157,Flame Red
158,Flesh
159,Fruit Punch
160,Ginseng
161,Halo Brown
162,Halo Denim
163,Halo Forest
164,Halo Khaki
165,Halo Taupe
166,Hawaiian Sunset
167,Hazelnut
168,Highliner
169,Honey
170,Indian Earth
171,Jade
172,Juicy Cherry
173,Latte
174,Light Chestnut
175,Light Salmon
176,Lighten Up
177,Mango
178,Mauve
179,Medium Brown
180,Midnight Black
181,Mocha
182,Mochaccino
183,Montana Pink
184,Navajo Brown
185,Nectar
186,Neon Orange Mod
187,Nude
188,Ocean Blue
189,Old Rose
190,Olive Mod
191,Onyx
192,Peach Cobbler
193,Pink
194,Pink Orchid
195,Raspberry Creme
196,Rich Velvet
197,Ripe Grapefruit
198,Rose
199,Rose Petal
200,Rosehip
201,Royal Flush
202,Ruby Red
203,Sahara
204,Sand
205,Sapphire
206,Sedona
207,Soft Plum
208,Spicy Red
209,Spring Fling
210,Strawberries & Creme
211,Sweet Chocolate
212,Tabasco
213,Taupe
214,Ultra Black
215,UNGrey
216,Valentine Kiss
217,Warm Russet
218,Yellow Olive Mod
219,Dark Green / Verde Oscuro Red: BA-DG
220,Kelly Green / Verde Claro Ref: BA-KG
221,Dark Blue / Azul Oscuro Ref: BA-DB
222,Light Blue / Azul Claro Ref: BA-LTB
223,Turquoise / Turquesa Ref; BA-TUQ
224,Yellow Green / Verde Claro Ref: BA-YGN
225,Yellow / Amarillo Ref: BA-YLW
226,Gold / Oro Ref: BA-GLD
227,Orange / Naranja Ref: BA-ORN
228,Red Orange / Naranja Rojizo Ref: BA-REDORN
229,Red / Rojo Ref: BA-RED
230,Hot Pink / Rosa Ref: BA-HPINK
231,Fuchsia / Fucsia Ref: BA-FUC
232,Purple / Morado Ref: BA-PUR
233,Lavender / Violeta Ref: BA-LAV
234,Brown / Marron Ref: BA-BRN
235,Flesh / Crema Ref: BA-FLE
236,Black / Negro Ref: BA-BLK
237,White / Blanco Ref: BA-WHT
238,Gray / Gris Ref: BA-GRY
239,Black / Azabache
240,Brown Black / Cafe Negruzco
241,Brown For Eyes / Cafe Para Ojos
242,Blue / Azul
243,Green / Verde
244,Highlighter / Iluminador
245,Darkest Brown / Catergoria I
246,Dark Brown / Catergoria II
247,Medium Brwon / Catergoria III
248,Light Brown / Catergoria IV
249,Blonde / Catergoria V
250,Halo Denim; VT-120
251,Halo Forest; VT-724
252,Halo Khaki; VT-725
253,Halo Taupe; VT-272
254,Hawaiian Sunset; VT-594
255,Hazelnut; VT-236
256,Highliner; VT-420
257,Honey; VT-406
258,Indian Earth; VT-527
259,Jade; VT-703
260,Juicy Cherry; VT-958
261,Latte; VT-235
262,Light Salmon; VT-418
263,Lighten Up; VT-273
264,Mango; VT-609
265,Mauve; VT-529
266,Medium Brown; VT-222
267,Midnight Black
268,Mocha; VT 419
269,Mochaccino; VT-290
270,Montana Pink; VT-921
271,Navajo Brown; VT-295
272,Nectar; VT-557
273,Neon Orange Mod; VT-610
274,Nude; VT-412
275,Ocean Blue: VT-803
276,Old Rose; VT-923
277,Olive Mod; VT-706
278,Onyx; VT-102
279,Peach Cobbler; VT-593
280,Pink; VT-908
281,Pink Orchid; VT-588
282,Raspberry Creme; VT-590
283,Rich Velvet; VT-802
284,Ripe Grapefruit; VT-589
285,Rose; VT-904
286,Rose Petal; VT-522
287,Rosehip; VT-564
288,Royal Flush; VT-912
289,Ruby Red; VT-504
290,Sahara; VT-266
291,Sand; VT-411
292,Sapphire; VT-814
293,Sedona; VT-554
294,Soft Plum; VT-558
295,Spicy Red; VT-591
296,Spring Fling; VT-954
297,Strawberries & Cream; VT-520
298,Sweet Chocolate; VT-580
299,Tabasco; VT-584
300,Taupe; VT-224
301,Ultra Black; VT-109
302,UNGrey; VT-604
303,Valentine Kiss; VT-555
304,Warm Russet; VT-583
305,Yellow Olive Mod; VT-313
306,DC-Beige 408
307,DC-Beige 411
308,DC-Beige 412
310,5858-81-1
311,D&C RED 7 CALCIUM LAKE
312,D&C RED 28
313,D&C RED 7 CALCIUM LAKE
314,D&C RED 28
315,D&C RED 22
316,RED IRON OXIDE
317,ULTRAMARINE BLUE
318,MICA
319,FERRIC FERROCYANIDE
320,D&C YELLOW 10
321,FERRIC FERROCYANIDE
322,MICA
323,FD&C YELLOW 6
324,D&C RED 7 CALCIUM LAKE
325,MICA
326,D&C RED 34 ALUMINUM LAKE
327,BLACK IRON OXIDE
328,MICA
329,ALUMINUM POWDER
330,D&C RED 6 BARIUM LAKE
331,D&C RED 7 CALCIUM LAKE
332,MICA
337,Beige
338,Bright
339,Noir Indigo
340,Noir Brun
353,00
354,01
355,02
356,03
357,attitude
358,beach babe
359,boot scootin berry
360,bronze beauty
361,cha cha cherry
362,cotton candy
363,courage
364,cranberry ice
365,a date at 8
366,down & dirty
367,fliratious
368,friday at 4
369,frost
370,girly girl
371,gossip
372,havana soul
373,have a heart
374,high falutin
375,hoity toity
376,hot flash
377,hot pink
378,white art
379,blue art
380,green art
381,yellow art
382,white acrylart
383,white paint
384,white 3D gel
385,i adobe you
386,island girl
387,jitter bug
388,shear paradise
389,shear elegance
390,sand by your man
391,romeo & juliet
392,raspberry truffle
393,prissy pink
394,pink panties
395,pink champagne
396,park ave pink
397,nutty nutmeg
398,nasty norah
399,DC-Brown 229
400,DC-Brown 234
401,DC-Brown 235
402,DC-Brown 236
403,DC-Brown 238
404,DC-Brown 240
405,DC-Brown 241
406,DC-Brown 242
407,DC-Brown 243
408,DC-Brown 244
409,DC-Brown 244
410,DC-Brown 244
411,DC-Brown 245
412,DC-Brown 246
413,DC-Brown 247
414,DC-Brown 248
415,DC-Brown 249
416,DC-Brown 251
417,DC-Brown 252
418,DC-Brown 257
419,DC-Brown 259
420,DC-Brown 260
421,DC-Brown 261
422,DC-Brown 262
423,DC-Brown 266
424,DC-Brown 273
425,DC-Brown 275
426,DC-Brown 276
427,DC-Brown 278
428,DC-Brown 279
429,DC-Brown 280
430,DC-Brown 281
431,DC-Brown 284
432,DC-Brown 290
433,DC-Brown 293
434,DC-Brown 294
435,DC-Brown 295
436,DC-Green 703
437,DC-Green 705
438,DC-Green 706
439,DC-Green 707
440,DC-Green 718
441,DC-Green 719
442,Dc-Green 720
443,DC-Green 724
444,DC-Green 726
445,DC-Green 727
446,DC-Orange 604
447,DC-Orange 609
448,DC-Orange 610
449,DC-Orange 613
450,DC-Orange 614
451,DC-Orange 615
452,DC-Orange 626
453,Gray Hair / Pelo Cano
454,Red / Rojo
455,Magenta
456,Wine / Vino
457,Dark Wine / Vino Tinto
458,Peach / Durazino
459,Rose / Rosa
460,Cappuccino
461,Terracota
462,Coral
463,Rust Red / Rojo Quemado
464,Mauve / Rosa Malva
465,Natural Lips / Labios Naturales
466,Ochros / Ocre
467,Skin Modifier
468,Cool Modifier / Mod. Frio
469,Warm Modifier / Mod Calido
470,Mandarin / Mandarina
471,Areola 1
472,Areola 2
473,Areola 3
474,Areola 4
475,Areola 5
476,Skin 1 / Piel 1
477,Skin 2 / Piel 2
478,Skin 3 / Piel 3
479,Skine 4 / Piel 4
480,Skin 5 / Piel 5
481,Honey Brown
482,Roxy Red
483,Salmon
484,Brick Red
485,Cavernet
486,Rust Red
487,Mandarin 2
488,Natural Lips / Labios Naturales
489,Cherry; Double Max 21504
490,Strawberry Red; Double Max 21505
491,Raspberry Red; Double Max 21506
492,Indian Red; Double Max 21510
493,Rose Red; Double Max 21520
494,True Red; Double Max 21609
495,Mauve; Double Max 21515
496,Red Mauve; Double Max 21516
497,Dark Mauve; Double Max 21912
498,Medium MAuve; Double Max 21919
499,Light Mauve; Double Max 21920
500,Pink; Double Max 21522
501,Coral Red; Double Max 21931
502,Coral Pink; Double Max 21932
503,Sienna; Double Max 21527
504,Natural; Double Max 21908
505,Burgundy; Double Max 21537
506,Plum Wine; Double Max 21538
507,Light Chocolate; Double max 21238
508,Milk Chocolate; Double Max 21222
509,Brown Chocolate; Double Max 21220
510,Dark Chocolate; Double Max 21208
511,Light Beige; Double Max 21412
512,Medium Beige; Double Max 21408
513,Dark Beige; Double Max 21416
514,Tan; Double Max 21252
515,Ivory; Double Max 21414
516,Light Creme; Double Max 21411
517,Dark Creme; Double Max 21407
518,Natural; Double Max 21908
519,Light Pink; Double Max 21906
520,Medium Pink; Double Max 21529
521,Dark Pink; Double Max 21904
522,Brow Corrector (Cool); Double Max 21706
523,Brow Corrector (Warm); Double Max 21528
524,Eyeliner Corrector; Double Max 21218
525,Lip Corrector; Double Max 21610
526,White Lightening; Double Max 21415
527,Yellow Warmer; Double Max 21301
528,Light Brown; Double Max 21235
529,Medium Brown; Double Max 21212
530,Dark Brown; Double Max 21203
531,Soft Brown; Double Max 21204
532,Golden Brown; Double Max 21234
533,Taupe; Double Max 21236
534,Light Taupe; Double max 21707
535,Medium Taupe; Double Max 21705
536,Dark Taupe; Double Max 21224
537,Auburn; Double Max 21223
538,Gray; Double max 21106
539,Black; Double Max 21102
540,Brown Black; Double Max 21103
541,Brown; Double Max 21104
542,Midnight Blue; Double Max 21801
543,Dark Blue; Double Max 21803
544,Dark Green; Double Max 21703
545,Eyeliner Enhancer; Double Max 21420
546,Cherry; Triple Max 31504
547,Strawberry Red; Double Max 21505
548,Strawberry Red; Triple Max 31505
549,Raspberry Red; Triple Max 31506
550,Indian Red; Triple Max 31510
551,DC-Red 519
552,DC-Red 520
553,DC-Red 522
554,DC-Red 523
555,DC-Red 524
556,DC-Red 527
557,DC-Red 528
558,DC-Red 529
559,DC-Red 532
560,DC-Red 534
561,DC-Red 535
562,DC-Red 537
563,DC-Red 538
564,DC-Red 539
565,DC-Red 540
566,DC-Red 541
567,DC-Red 542
568,DC-Red 543
569,DC-Red 544
570,DC-Red 545
571,DC-Red 546
572,DC-Red 547
573,DC-Red 554
574,DC-Red 555
575,DC-Red 556
576,DC-Red 557
577,DC-Red 558
578,DC-Red 559
579,DC-Red 564
580,DC-Red 567
581,DC-Red 568
582,DC-Red 569
583,DC-Red 571
584,DC-Red 573
585,DC-Red 579
586,DC-Red 580
587,DC-Red 581
588,DC-Red 582
589,DC-Red 583
590,DC-Red 584
591,DC-Red 585
592,DC-Red 588
593,DC-Red 589
594,DC-Red 590
595,DC-Red 591
596,DC-Red 593
597,DC-Red 594
598,DC-Red 595
599,DC-White 415
600,DC-Yellow 301
601,DC-Yellow 313
602,DC-Yellow 315
603,DC-Yellow 316
604,DC-Yellow 319
605,DC-Yellow 320
606,DC-Yellow 321
607,Black
608,1960s
609,1970s
610,1980s
611,1990s
612,2000
613,1970s
614,A-Bucc-An-Ear
615,Adventure
616,Eskimo Gray; VT-106
617,Espresso; VT-203
618,Flame Red; VT-585
619,Flesh; VT-407
620,Fruit Punch; VT-571
621,Ginseng; VT-559
622,Halo Brown; VT-271
623,Beautiful Susan
624,Believe
625,Bermuda
626,Berry Custard
627,Berry Flambe
628,Bikini Beach
629,Bikini Glimmer
630,Black Ice
631,Black Pearl
632,Bliss Eyeshadow
633,Blissful Pearl
634,Bloom
635,Bloomin' Surprise
636,Blue Ball
637,Blue Dream
638,Blue Hue
639,Blue Mist
640,Blue Moon
641,Blush
642,Blushing Bronze
643,Bone
644,Brass Roots
645,Brave
646,Brass Roots
647,Bravo
648,Brilliant
649,Bubbly
650,Butterfly
651,Camel
652,Camp
653,Canary Diamond
654,Captivate
655,Caramel
656,Cashmere
657,Cat Woman
658,Celery
659,Celestine
660,Cerveza
661,Chameleon
662,Champagne
663,Chardonnay
664,Charleston
665,Chenille
666,Cherry Coco Truffle
667,Chic Diamond
668,Chic Nude
669,Chocolate Fondue
670,Chocolate Suede
671,Citrine
672,Citron
673,Citrus Twist
674,Clarity
675,Classic
676,Classic Rock
677,Blue Hue
678,"Cleopatra ""Cleo"""
679,Cloud Nine
680,Cocoa
681,Coconut Palm
682,Cognac Diamond
683,Congo
684,Cream Soda
685,Creme de Menthe
686,Crusin' Teddy
687,Cultured Pearl
688,Cupcake
689,Dakota
690,Dark Chocolate
691,Day Dream
692,Dazzling
693,Delight
694,Denim
695,Desire
696,Devotion
697,Disco
698,Discovery
699,Diva
700,Devine
701,Dove
702,Divine
703,Drama
704,Dulce De Leche
705,Ecstasy
706,Elegance
707,Ell-If-I-Know
708,Embrace
709,Emotion
710,Enchanting
711,Ensenada
712,Envy
713,Euphoria
714,Exotic Laura
715,Exotic Pearl
716,Exotic Tara
717,Exotic Victoria
718,Exquisite Diamond
719,Exquisite
720,Faith
721,Fantasy
722,Fascination
723,Fearless
724,Festive
725,Finesse
726,Fire Light
727,Fire Opal
728,Flamenco
729,Flaunt
730,Flawless Diamond
731,Nice Rock
732,Night Owl
733,No Eye-Deer
734,Noble
735,Nonfat Candy
736,Nude Beach
737,Nude Chiffon
738,Oasis
739,Olive Mist
740,Opal
741,Organza
742,Oz
743,Pacific Heights
744,Pamper
745,Panther
746,Paradise
747,Parisian Gray
748,Passion
749,Patience
750,Peaceful
751,Peach Puff
752,Peach Surprise
753,Peacock Eye Quickie
754,Peacock Transformer
755,Pearl Sateen
756,Petunia
757,Pink Posey
758,Pink Sands
759,Pinot Noir
760,Platinum
761,Playful
762,Plush Purple
763,Poise
764,Praise
765,Precious
766,Present
767,Pure Joy
768,Purist
769,Purrfect
770,Pussycat
771,Puzzle
772,Adventure
773,Alley Cat
774,Amazing Amanda
775,Angel Food Cake
776,Antique Pearl
777,Antique Pearl
778,Antique Pearl
779,Au Natural Glimmer
780,Aurora
781,Aztec
782,Aurora
783,Azure
784,Bahamas
785,Bali
786,Bamboo
787,Banana Smoothie
788,Bare Skin
789,BE Grateful
790,Beautiful Lisa
791,Beautiful Melodie
792,Flirtatious
793,Foliage
794,Free Spirit
795,Freedom
796,Frolic
797,Fun
798,Gal Pal
799,Giggle
800,Gigi
801,Gilded Quartz
802,Gilded Taupe
803,Ginger Peach
804,Girlfriend Kathleen
805,Girlfriend Margo
806,Girlfriend Michelle
807,Glamorista
808,Gold Dipped
809,Gold Leaf
810,Golden Earth
811,Golden Ruby
812,Golden Sunset
813,Good Fortune
814,Gossip
815,Grace
816,Gracious
817,Grasshopper
818,Happiness
819,Harmony
820,Heart
821,Heavenly Diamond
822,Herbal Tea
823,Here Kitty
824,Hero
825,High Style
826,Hiking Trail
827,Honey Amber
828,Honey Diamond
829,Honey Amber
830,Honeydew
831,Hope
832,Hopscotch
833,Hot Spot
834,Hugs
835,Hummingbird
836,Hyacinth
837,Ice Queen
838,Iced Coffee
839,Idol
840,Imagination
841,Impression
842,In A Jam
843,In The Buff
844,Intuition
845,Invitation
846,Jasmine Tea
847,Java
848,Jazz
849,Joeli
850,Joy
851,Justice
852,Karaoke
853,Key Lime
854,Kiko
855,Kindness
856,Kir Royale
857,Kudos
858,Lemon Meringue
859,Lemon Zinger
860,Lemonade
861,Liberty
862,Lilac Vibe
863,Lime
864,Loli
865,Long Island Iced Tea
866,Loyalty
867,Luminous Topaz
868,Lust
869,Luster
870,Madras
871,Magnetize
872,Magic
873,Magnificent
874,Mai Tai
875,Mambo
876,Mango Smoothie
877,Mardi Gras
878,Marquise
879,Masquerade
880,Meet The Stones
881,Meow
882,Merlot
883,Metallic
884,Metallic Lavender
885,Mettallic Green
886,Mint Eyecolor
887,Mint Glimpse
888,Mocha Supreme
889,Modern Pearl
890,Mojito
891,Montana
892,Moonlit
893,Moonstruck
894,Morocco
895,Moss
896,Mystery Eye Quickie
897,Mystic
898,Myth
899,Neptune
900,Nice Pear
901,Tiara
902,Tiger Lily
903,Tiramisu
904,Treasure Island
905,Trinity
906,Trophy Wife
907,Tropics
908,True Gold
909,Trust
910,Twig
911,Twilight
912,Vanilla Sugar
913,Vanity
914,Venus Eye Quickie
915,Vine
916,Vintage Ruby
917,Visualize
918,Voodoo
919,Waterlily
920,Wearable Green Light
921,Wearable Pecan
922,Wearable Stone Light
923,Whimsy
924,Whisper
925,White Chocolate
926,White Gold
927,Wicked
928,Queen Linda
929,Queen Marie
930,Queen Phyllis
931,Queen Tiffany
932,Radiant Rebecca
933,Rapture
934,Real Deal
935,Rebel
936,Rebirth
937,Red Velvet Cake
938,Reveal
939,Rock Crystal
940,Rock Star
941,Rose Pearl
942,Salsa
943,Sanctuary
944,Sand Dollar
945,Sangria
946,Sass
947,Saucy
948,Seduction
949,Serene
950,Sex Kitten
951,Sex On The Beach
952,Shangri-La
953,Shantung
954,Showers
955,Silk Rose
956,Silk Stockings
957,Sincerely Angela
958,Sincerely Donna
959,Sincerely Heather
960,Sincerely Renee
961,Skinny Dip
962,Smoky Amber
963,Smoky Sage
964,Smoky Topaz
965,Snazzy
966,Snowflake
967,Socialite
968,Soiree
969,Soul
970,Soul Sister
971,Spark
972,Spellbound
973,Spiced Biscotti
974,Splendor
975,Starlet Casey
976,Starlet Catherine
977,Starlight
978,Sterling Silver
979,Strawberry Daiquiri
980,Strawberry Mousse
981,Strength
982,Stunner
983,Summer
984,Sun Dress
985,Sun Goddess
986,Sunshine
987,Surprise
988,Surreal
989,Sweet Apricot
990,Ta-Dah
991,Take Me
992,Tan Lines
993,The Big Easy
994,The Gift
995,Rose Radiance
996,Glee
997,Faux Tan
998,True
999,Warmth
1000,Ginger Spice
1001,Blushing Beauty
1002,Champagne Diamond
1003,Ruby Radiance
1004,Faux Tan Matte
1005,Tropical Radiance
1006,Trudy
1007,A Little Sun
1008,Emphasize It
1009,Citrine Radiance
1010,Love Radiance
1011,Secret Radiance
1012,Pearl
1013,Onyx
1014,Topaz
1015,Amethyst
1016,Sapphire
1017,Emerald
1018,Foundation Primer
1019,Oil Control Foundation Primer
1020,Eyelid Primer
1021,Eyelid Shimmer Primer
1022,Granite
1023,Plum
1024,Midnight
1025,Charcoal
1026,Chocolate
1027,Black
1028,Chocolate Brown
1029,Black
1030,Green
1031,Turquoise
1032,Garnet
1033,Gold
1034,Ruby
1035,Platinum
1036,Diamond
1037,Amethyst
1038,Margarita
1039,Coco
1040,Cherry
1041,Melonie
1042,Iris
1043,Poppy
1044,Rosie
1045,Lily
1046,Stella
1047,Chloe
1048,Carmen
1049,Vanessa
1050,Racquel
1051,Sophia
1052,Roxanne
1053,Tempest
1054,Ruby
1055,Charity
1056,Starr
1057,April
1058,Clair
1059,Celeste
1060,Joy
1061,Hope
1062,Merry
1063,Zena
1064,Sugar
1065,Kanani
1066,Lola
1067,Dominique
1068,Vicki
1069,Amber
1070,Candi
1071,Ginger
1072,Roxy
1073,Brandi
1074,Bunny
1075,Dolly
1076,Kitty
1077,Trixie
1078,Bambi
1079,BiancaBuxom
1080,Lacy
1081,Eva
1082,Dani
1083,Katie
1084,DC-Orange 627
1085,DC-Orange 628
1086,DC-Orange 629
1087,DC-Orange 630
1088,DC-Orange 631
1089,DC-Pink 904
1090,DC-Pink 905
1091,DC-Pink 906
1092,DC-Pink 908
1093,DC-Pink 909
1094,DC-Pink 912
1095,DC-Pink 913
1096,DC-Pink 914
1097,DC-Pink 915
1098,DC-Pink 916
1099,DC-Pink 917
1100,DC-Pink 918
1101,DC-Pink 919
1102,DC-Pink 920
1103,DC-Pink 921
1104,DC-Pink 922
