CDPHId,PrimaryCategoryId,SubCategoryId
2,44,53
3,18,25
4,44,46
5,44,52
6,44,48
7,59,60
8,59,60
9,59,60
10,59,60
12,59,60
13,59,60
14,59,60
15,59,60
16,59,60
17,59,60
18,44,162
24,74,170
26,44,48
27,44,162
29,106,107
30,59,168
31,59,168
32,59,61
33,59,60
34,59,60
35,59,60
36,59,60
37,59,168
38,44,52
41,106,107
42,106,107
43,6,166
44,44,50
45,6,166
46,44,48
47,59,60
47,59,65
48,59,60
49,59,60
50,59,60
51,59,60
52,59,60
53,59,60
54,59,60
56,44,52
57,44,48
58,44,48
59,44,48
60,44,48
61,44,48
62,44,48
63,44,48
64,44,48
65,44,48
66,44,48
67,44,48
68,44,48
69,44,48
70,44,48
71,44,48
72,44,48
73,44,48
74,44,48
75,44,48
76,44,48
77,44,48
78,44,48
79,44,48
80,44,48
81,44,48
82,44,48
83,44,48
84,90,92
85,90,102
86,90,92
87,44,48
88,44,48
89,44,48
90,44,48
91,44,48
92,44,48
93,44,48
94,44,48
95,44,48
96,44,48
97,44,48
98,44,48
99,44,48
100,44,48
101,44,48
102,44,48
103,44,48
104,44,48
105,44,48
106,44,48
107,44,48
108,44,48
109,44,48
110,44,48
111,44,48
112,44,48
113,44,48
114,44,48
115,44,48
116,44,48
117,44,48
118,44,48
119,44,50
120,44,50
121,44,50
122,44,50
123,44,50
124,44,50
125,44,50
126,44,50
127,44,50
128,44,50
129,44,50
130,44,50
131,44,50
132,44,50
133,44,50
134,44,50
135,44,50
136,44,50
137,44,50
138,44,50
139,90,92
140,106,107
141,106,107
142,90,91
143,90,95
152,44,51
153,90,102
154,90,102
155,90,92
156,90,99
156,90,100
157,90,102
158,90,102
159,106,107
160,44,50
161,44,50
162,44,50
163,44,50
164,44,50
165,44,50
166,44,50
167,44,50
168,44,50
169,44,50
170,44,50
171,44,50
172,44,50
173,44,50
174,44,50
175,44,50
176,44,50
177,44,50
178,44,50
179,44,50
180,44,50
181,44,50
182,90,102
183,44,50
184,44,50
185,44,50
186,44,50
187,44,50
188,44,50
189,44,50
190,44,50
191,44,50
192,44,50
193,44,50
194,44,50
195,44,50
196,44,50
197,44,50
198,12,165
199,44,46
200,44,52
201,44,52
202,44,52
203,44,52
204,44,52
205,44,52
206,44,52
207,44,52
208,44,52
209,44,52
210,44,52
211,44,52
212,44,52
213,44,52
214,44,52
215,44,52
216,44,52
217,44,52
218,44,52
219,44,52
220,44,52
221,44,52
222,44,48
223,44,52
224,44,52
225,44,52
226,90,102
227,44,48
228,44,45
229,44,48
230,44,52
231,90,102
231,106,107
232,44,45
233,44,48
234,90,102
235,90,102
236,44,52
237,44,51
238,44,52
239,44,52
239,44,53
240,44,52
241,44,52
242,44,50
243,44,52
244,44,52
245,44,45
246,44,52
247,44,45
248,44,52
249,44,52
250,44,52
251,44,52
252,44,46
253,44,53
254,44,46
255,44,46
256,44,53
257,44,53
258,44,52
259,44,53
260,44,46
261,44,53
262,44,53
263,44,53
264,44,53
265,44,53
266,44,53
267,44,53
268,44,53
269,6,9
272,44,53
273,44,53
274,44,53
275,44,53
276,90,91
276,90,93
277,44,53
278,44,53
279,44,53
280,44,53
281,44,53
282,44,53
283,44,53
284,44,53
285,44,53
286,44,53
287,44,53
288,44,53
289,44,53
290,44,53
291,44,53
292,44,53
293,44,53
294,44,53
295,44,50
296,44,50
297,44,50
298,44,50
299,44,50
300,44,50
301,44,50
302,44,50
303,44,50
304,44,50
305,44,50
306,44,50
307,44,50
308,44,50
309,44,50
310,44,50
311,44,50
312,44,50
313,44,50
314,44,50
315,44,50
316,44,50
317,44,50
318,44,50
319,44,50
320,44,50
321,44,50
322,44,50
323,44,50
324,44,50
325,44,50
326,44,50
327,44,50
328,44,50
329,44,50
330,44,50
331,44,50
332,44,50
333,6,159
334,90,93
335,6,166
336,44,50
337,44,50
338,18,25
339,44,50
340,44,50
341,44,50
342,44,50
343,44,50
344,44,50
345,44,50
346,44,50
347,44,50
348,44,50
349,90,102
349,106,107
350,44,50
351,44,50
352,44,50
353,44,50
354,44,50
355,44,50
356,44,50
357,44,50
358,44,50
359,44,50
360,44,50
361,44,50
362,90,93
363,18,25
364,106,107
365,106,107
366,90,102
367,90,102
368,44,56
369,44,50
370,44,50
371,44,50
372,44,50
373,44,50
374,44,50
375,44,50
376,44,50
377,44,50
378,44,50
379,44,50
380,44,50
381,44,50
382,44,50
383,44,50
384,44,50
385,44,50
386,44,50
387,44,50
388,44,50
389,44,162
390,44,162
391,44,162
392,44,48
393,44,48
394,44,48
395,44,48
396,44,48
397,44,48
398,44,48
399,44,48
400,44,48
401,44,48
402,44,48
403,44,48
404,44,48
405,44,48
406,44,48
407,44,48
408,44,48
409,44,48
410,44,48
411,44,48
412,44,48
413,44,49
414,44,48
415,44,48
416,44,48
417,44,48
418,44,48
419,44,48
420,44,48
421,44,48
422,44,48
423,44,48
424,44,48
425,44,48
426,44,48
427,44,48
428,44,48
429,44,48
430,44,48
431,44,48
432,44,48
433,44,48
434,90,102
435,44,48
436,90,93
437,90,102
438,90,103
439,90,102
440,44,48
441,44,48
442,44,48
443,44,48
