CDPHId,ProductName
2,ULTRA COLOR RICH EXTRA PLUMP LIPSTICK-ALL SHADES
3,Glover's Medicated Shampoo
4,PRECISION GLIMMER EYE LINER-ALL SHADES �
5,AVON BRILLIANT SHINE LIP GLOSS-ALL SHADES �
6,JILLIAN DEMPSEY FOR AVON CELESTIAL EYESHADOW-ALL SHADES �
7,ABSOLUTE Precision Color Powder System - All Shades
8,ABSOLUTE Precision Color Powder System Opaque Pink
9,ABSOLUTE Precesion Color Powder System Perfect White
10,ABSOLUTE Precision Color Powder System Translucent Pink
12,ABSOLUTE FX Chromatones Precision Color Powders
13,BlueFX
14,GreenFX
15,I'm not Really a Waitress
16,Kyoto Pearl
17,Radiant RedFX
18,SPECTRA LASH MASCARA �
24,White Premium Lotion Soap
26,Professional Eyeshadow Base
27,Inimitable Mascara
29,Aloe Up Lil' Kids SPF 45 Aloe Based Sunscreen Lotion
30,Entity One Nudite Pink UV Gel
31,"Entity One UV gels - white, natural white, clear and pink"
32,Entity Enamel Base Coat
33,Nudite Nail Sculpting Powders (6)
34,Clear Nail Sculpting Powder
35,Natural Nail Sculpting Powder
36,White Nail Sculpting Powder
37,UV Nail Topcoat
38,Pure Blends Natural Lipgloss-Natural
41,Aloe Up Lil' Kids SPF 30+ Sunscreen Stick
42,Aloe Up SPF 30 Sunscreen Stick
43,Skin Prep Scrub
44,ECLAT MINUTE EMBELLISSEUR DE TEINT
45,Enzymatic Sea Mud - professional only
46,Colorstay 12 Hour Eye Shadow Quad- Copper Spice-champagne 99
47,Gel Polishes
48,French Tip
49,Natural Tip
50,Perfect White
51,Swedish White
52,Pink
53,Builder
54,Extreme
56,Spicy Pear Cobbler Lip Shine
57,Colorstay 12 Hour Eye Shadow Quad- peach 98
58,Colorstay 12 Hour Eye Shadow Quad- copper 97
59,Colorstay 12 Hour Eye Shadow Quad- bronze 96
60,Colorstay 12 Hour Eye Shadow Quad- Coffee bean-iced mocha 95
61,Colorstay 12 Hour Eye Shadow Quad- dark brown 97
62,Colorstay 12 Hour Eye Shadow Quad- midtone brown 98
63,Colorstay 12 Hour Eye Shadow Quad- skintone 99
64,Colorstay 12 Hour Eye Shadow Quad- Neutral khakis-taupe vert 93
65,Colorstay 12 Hour Eye Shadow Quad- champ. Shimmer 94
66,Colorstay 12 Hour Eye Shadow Quad- chocolate brown 95
67,Colorstay 12 Hour Eye Shadow Quad- shroom 96
68,Colorstay 12 Hour Eye Shadow Quad- Sandstorm-89 green shimmer
69,Colorstay 12 Hour Eye Shadow Quad- pewter shimmer 90
70,Colorstay 12 Hour Eye Shadow Quad- metal shimmer 91
71,Colorstay 12 Hour Eye Shadow Quad- rose shimmer 92
72,Colorstay 12 Hour Eye Shadow Quad- Blushed wines-toast 86
73,Colorstay 12 Hour Eye Shadow Quad- pink freeze 87
74,Colorstay 12 Hour Eye Shadow Quad- light pink 88
75,Colorstay 12 Hour Eye Shadow Quad- burgundy 94
76,Colorstay 12 Hour Eye Shadow Quad- In the Buff-peach shimmer 85
77,Colorstay 12 Hour Eye Shadow Quad- mocha brown 84
78,Colorstay 12 Hour Eye Shadow Quad- medium brown 92
79,Colorstay 12 Hour Eye Shadow Quad- pink 93
80,Colorstay 12 Hour Eye Shadow Quad- Stonewash denim- ocean blue 76
81,Colorstay 12 Hour Eye Shadow Quad- water cooler blue 77
82,Colorstay 12 Hour Eye Shadow Quad- baby blue 78
83,Colorstay 12 Hour Eye Shadow Quad- lt blue 79
84,Help Me Retinol Cream
85,Divine Illumination
86,Eye Believe
87,Colorstay 12 Hour Eye Shadow Quad- Sterling Rose- sterling grey 73
88,Colorstay 12 Hour Eye Shadow Quad- bright rose 74
89,Colorstay 12 Hour Eye Shadow Quad- muted rose 75
90,Colorstay 12 Hour Eye Shadow Quad- charcoal 91
91,Colorstay 12 Hour Eye Shadow Quad- Berry Bloom- deep purple 69
92,Colorstay 12 Hour Eye Shadow Quad- fuchia 70
93,Colorstay 12 Hour Eye Shadow Quad- muted purple 71
94,Colorstay 12 Hour Eye Shadow Quad- pink frost 72
95,Colorstay 12 Hour Eye Shadow Quad- Sultry smoke- irridescent purple 07
96,Colorstay 12 Hour Eye Shadow Quad- dark blue 08
97,Colorstay 12 Hour Eye Shadow Quad- charcoal 09
98,Colorstay 12 Hour Eye Shadow Quad- black 10
99,Colorstay 12 Hour Eye Shadow Quad- Priceless Metals- gold 11
100,Colorstay 12 Hour Eye Shadow Quad- silver 12
