CDPHId,ChemicalId
2,6
3,4
3,5
4,7
5,8
6,9
7,12178
8,17903
9,17909
10,17911
12,17917
13,17918
14,17960
15,17961
16,17963
17,17964
18,24
24,26
26,27
27,28
29,39
29,41
30,29
31,30
32,31
33,32
34,33
35,34
36,35
37,36
38,37
41,40
42,42
43,43
43,581
44,44
44,45
44,46
44,47
44,50
44,48
44,51
44,49
45,52
46,53
47,54
48,55
49,56
50,57
51,58
52,59
53,60
54,61
56,63
57,64
58,65
59,66
60,67
61,68
62,69
63,70
64,71
65,72
66,73
67,74
68,75
69,76
70,77
71,78
71,822
72,79
73,80
74,81
75,82
76,83
77,84
78,85
79,86
80,87
81,88
82,89
83,90
84,91
85,92
85,93
86,94
87,95
88,96
89,97
90,98
91,99
92,100
93,101
94,102
95,103
96,104
97,105
98,106
99,107
100,108
101,109
102,110
103,111
104,112
105,113
106,114
107,115
108,116
109,117
110,118
111,119
112,120
113,121
114,122
115,123
116,124
117,125
118,126
119,127
120,128
121,129
122,130
123,131
124,132
125,133
126,134
127,135
128,136
129,137
130,138
131,139
132,140
133,141
134,142
135,143
136,144
137,145
138,146
139,147
139,148
140,149
140,150
141,151
141,152
142,153
143,154
152,163
153,164
154,165
155,166
156,2080
156,28022
156,52508
157,167
158,168
159,169
159,170
160,171
161,172
162,173
163,174
164,175
165,176
166,177
167,178
168,179
169,180
170,181
171,182
172,183
173,184
174,185
175,186
176,187
177,188
178,189
179,190
180,191
181,192
182,194
183,193
184,195
185,196
186,197
187,198
188,199
189,200
190,201
191,202
192,203
193,204
194,205
195,206
196,207
197,208
198,209
199,210
200,211
201,212
202,213
203,214
204,215
205,216
206,217
207,218
208,219
209,220
210,221
211,222
212,223
213,224
214,225
215,226
216,227
217,228
218,229
219,230
220,231
221,232
222,235
222,236
223,233
224,234
225,237
226,238
227,239
228,240
229,241
230,242
231,243
232,244
233,245
234,246
235,247
236,249
237,248
238,250
239,251
240,252
241,253
242,254
243,255
244,257
245,256
246,258
247,261
248,259
249,260
250,263
251,262
252,264
253,266
254,265
255,267
256,268
257,269
258,270
259,272
260,271
261,273
262,274
263,275
264,276
265,277
266,278
267,279
268,280
269,281
269,1875
269,1876
269,5996
272,289
273,290
274,291
275,292
276,293
277,294
278,295
279,296
280,297
281,298
282,299
283,300
284,301
285,302
286,303
287,304
288,305
289,306
290,307
291,308
292,309
293,310
294,311
295,312
296,313
297,314
298,315
299,316
300,317
301,318
302,319
303,320
304,321
305,322
306,323
307,324
308,325
309,326
310,327
311,328
312,329
313,330
314,331
315,332
316,333
317,334
318,335
319,336
320,337
321,338
322,339
323,340
324,341
325,342
326,343
327,344
328,345
329,346
330,347
331,348
332,349
333,350
334,351
334,412
334,453
335,352
336,353
337,354
338,358
339,355
340,356
341,357
342,359
343,360
344,361
345,362
346,363
347,364
348,365
349,370
349,377
349,378
349,443
349,2324
350,366
351,367
352,368
353,369
354,371
355,372
356,373
357,374
358,375
359,376
359,823
360,379
361,380
362,381
362,458
362,2317
363,382
363,429
364,383
364,436
364,1077
365,384
365,448
365,1074
366,385
366,386
367,387
368,388
369,389
370,390
371,391
372,392
373,393
374,394
375,395
376,396
377,397
378,398
